id,order,le_type,as_type,title,description,date start,date finish,list of domain ids,image file name,video_url,caption
4611,,AS,SU,"<p>Imaginary Landscape</p>
","<p>As a culminating experience and assessment of learning for this unit, students create an imaginary seasonal landscape. Students choose how to portray a season in either a warm or cool color palette and landscape features. They discuss their choices and feelings about their landscapes.</p>
",,,1|10|4,,,
4612,,LE,,"<p>Instruments of the Early Maya</p>
","<p>At the start of this unit, teachers reveal that students will be creating oral presentations with a partner on some aspect of Maya music that interests them. They will be delivering these presentations at the unit&rsquo;s end. With this fact in mind, students view and listen to the musical&nbsp;instruments that were played in precontact Maya society&nbsp;in a teacher-led, audio-visual presentation.&nbsp;During this presentation, they also practice their note-taking and outlining skills.</p>
",,,1,,,
4613,,LE,,"<p>Vocal Music of the Maya and Music in Maya Life</p>
","<p>Students begin this learning experience by discussing the forms and functions of music today, as well as the status of musicians today. They then&nbsp;watch a rich, audio-visual presentation about the role of vocal music in precontact Maya society and the status and roles of Maya musicians&nbsp;in precontact Maya civilization&nbsp;while practicing their note-taking and outlining skills. Finally, students select a topic and begin planning for the oral presentations they will develop over the course of the unit.</p>
",,,1,,,
4614,,AS,FO,"<p>Maya Music in Precontact Maya Society Quiz</p>
","<p>To monitor their progress so far, students take a quiz on the musical instruments of the early Maya and on the place, form, function, and preservation of music in early Maya society.</p>
",,,1,,,
4615,,LE,,"<p>Xtoles</p>
","<p>Students listen to a recording of the ancient Maya song &ldquo;Xtoles.&rdquo; Then, they learn more about&nbsp;the song&rsquo;s origins and purpose and discuss how it affected them. Finally, they prepare the vocal selection through a series of rehearsals&nbsp;for a Maya Day celebration performance at the end of the unit.</p>
",,,1|5,,,
4616,,LE,,"<p>Making an Ocarina</p>
","<p>Students respond to the sound of the ocarina, recall what they learned about it at the beginning of this unit, make playable ocarinas of their own, and take their first steps in learning to play these instruments.</p>
",,,1|10|7,,,
4617,,AS,FO,"<p>Ocarina Ensemble Rehearsals</p>
","<p>As students prepare music and work on ocarina technique in ensemble rehearsals, they enhance their ability to prepare pre-written or self-composed music, as well as their ocarina playing technique. Meanwhile, the ensemble is informally assessed on a continuous basis to check for readiness and progress.</p>
",,,1,,,
4618,,AS,SU,"<p>Maya Music Performance</p>
","<p>To participate in the festivities of a special Maya Day celebration, students present what they have learned about Maya music in oral presentations that they have been working on all unit long. They also sing the ancient Maya &ldquo;Xtoles&rdquo; and&nbsp;perform musical compositions as an ocarina ensemble on the ocarinas they made themselves.</p>
",,,1|7,,,
4619,,LE,,"<p>Everything You Always Wanted to Know About Gregorian Chant</p>
","<p>To acquire background for their activities in this unit, students discover the history behind Gregorian chant, research and present their findings, listen to modern examples of Gregorian chant, and examine the renewed interest in Gregorian chant in the 20th&nbsp;century.</p>
",,,1|10,,,
4620,,AS,FO,"<p>Reviewing Key Concepts of Gregorian Chant</p>
","<p>By writing a paragraph on a chosen topic, students demonstrate their knowledge of Gregorian chant,&nbsp;and&nbsp;then they work in groups to write a concise and informative synopsis to read to the class.</p>
",,,1|10,,,
4621,,LE,,"<p>Understanding Modes and Neumes</p>
","<p>Through lecture and a handout, students learn about the notation and modes used in Gregorian chant. They then choose an aspect of Gregorian chant to research for an in-depth presentation in Assessment 7: Chant Performance.</p>
",,,1|3,,,
4622,,AS,FO,"<p>Using Modes</p>
","<p>Through notation and chanting, students demonstrate their understanding of the eight Gregorian church modes.</p>
",,,1|3,,,
4623,,LE,,"<p>Composing a Chant</p>
","<p>Students select a text for their chant composition and compose an original melody using one of the church modes. Once the composition draft is complete and any revisions have been made, they create a fair copy to be used in subsequent unit activities.</p>
",,,1|3,,,
4625,,AS,SU,"<p>Chant Performance</p>
","<p>Students perform and critique chants in pairs and present their research findings about Gregorian chants. The teacher meets with students individually to assess their work throughout the unit.</p>
",,,1,,,
4626,,LE,,"<p>Music Is Personal</p>
","<p>Students listen to a read-aloud of&nbsp;<em>I See a Song</em>&nbsp;by Eric Carle and explore the visualization of music. They discuss how they visualize different shapes, lines, and colors when they hear music and how the&nbsp;author represented water, earth, fire, and air in music and art.</p>
",,,1|10|4|7,,,
4627,,AS,DI,"<p>Let&rsquo;s See a Song!</p>
","<p>Students listen to a piece of classical music while&nbsp;drawing&nbsp;visual interpretations of the music. When&nbsp;finished, they share and discuss their creations&nbsp;with the class.</p>
",,,1|10|7|8,,,
4628,,LE,,"<p>Lullaby and Goodnight</p>
","<p>Students discuss the question, &ldquo;What is a lullaby?&rdquo; and share lullabies that soothed them when they were young.</p>
",,,1|10|4|5|6,,,
4629,,LE,,"<p>Family Lullabies</p>
","<p>Students teach their family lullabies to the class. The class sings the lullabies and&nbsp;analyzes similarities and differences between them.</p>
",,,1|10|6,,,
4630,,AS,FO,"<p>Soothing Lullabies</p>
","<p>Students discuss&nbsp;reasons why people might&nbsp;sing a lullaby&nbsp;to a baby, and come to&nbsp;understand that slower, quiet music is calming.&nbsp;They select a&nbsp;soothing song&nbsp;that they can&nbsp;sing to their rice-and-stocking babies, and illustrate the&nbsp;song.</p>
",,,1|10|4|7|6,,,
4631,,LE,,"<p>Nursery Rhymes and Lullabies</p>
","<p>Students learn and move to several&nbsp;nursery rhymes and lullabies, such as &ldquo;I&rsquo;m a Little Teapot&rdquo;&nbsp;and &ldquo;Itsy Bitsy Spider.&rdquo;&nbsp;The class discusses why children like to sing these songs, and references and sings these songs throughout the unit.</p>
",,,1|10|6,,,
4632,,LE,,"<p>Mandarin Lullaby</p>
","<p>Students learn the Mandarin lullaby&nbsp;摇篮曲,&nbsp;and sing the song to their rice-and-stocking babies&nbsp;while rocking them to sleep.&nbsp;They come to understand that soothing lullabies are universal.</p>
",,,1|11|6,,,
4633,,LE,,"<p>Spanish Lullaby</p>
","<p>Students learn several Spanish lullabies and sing the song to their rice-and-stocking babies&nbsp;to rock them to sleep. They discuss the&nbsp;English meanings of the songs, which helps them&nbsp;understand that soothing lullabies are sung&nbsp;around the world.</p>
",,,1|12|6,,,
4634,,AS,SU,"<p>The Rice-and-Stocking Baby&nbsp;Shower</p>
","<p>Students&nbsp;perform three or four nursery rhymes and lullabies for family and friends at a rice-and-stocking baby shower. They show understanding of&nbsp;the power of music to calm and soothe, why lullabies are sung to children, that lullabies are universal,&nbsp;how people can visualize music, and how music helps people express emotions.</p>
",,,1|10|11|12|4|6,,,
4635,,LE,,"<p>Mindful Transitions</p>
","<p>Students learn how to move from free play to the discipline of performance as they create welcome rituals for the beginning of Performing Arts: Theater class.</p>
",,,1|10|3|6|8,,,
4636,,LE,,"<p>Relaxation and Focus</p>
","<p>Students practice meditation techniques and movements to learn ways to calm the mind, explore body and breath control, and prepare for the movement, focus, and characterization that are crucial to theater arts. This learning experience happens in conjunction with the Mindful Transitions learning experience.</p>
",,,1|10|3|8,,,
4637,,AS,DI,"<p>Progress in Theater Arts Studies</p>
","<p>Throughout this Performing Arts: Theater unit, students learn and practice strategies and exercises that enable them to move from free play to the discipline of performance. Students set personal goals&nbsp;with teacher assistance.</p>
",,,6|8,,,
4638,,AS,FO,"<p>Journal and Storytelling</p>
","<p>Students obtain journals and discuss their use in Performing Arts: Theater class. They tell stories about themselves by drawing a picture in their journal and sharing that story orally as a springboard activity into the theater practice of working together to tell a story.</p>
",,,1|10|5|7,,,
4639,,LE,,"<p>Improvisation</p>
","<p>Students engage in movement and musical exercises that explore and interpret space, organization, and creative expression. They draw facial expressions from their imaginations, read-alouds, and/or modeling&nbsp;facial expressions with&nbsp;a partner.</p>
",,,1|10|11|12|5|7|6|8,,,
4640,,LE,,"<p>Seasonal Change</p>
","<p>After an outdoor walk and sharing books, stories, and online resources, students imagine and create choreographed movements of butterflies and geese.</p>
",,,1|10|4|3|5|7|6|8,,,
4641,,AS,FO,"<p>Progress Check</p>
","<p>Students meet one-on-one with the teacher to review their sketchbooks, discuss their successes and challenges, and explain how their work in Performing Arts: Theater connects&nbsp;with their work in&nbsp;other domains.&nbsp;This assessment may be used multiple times during the course of the unit.</p>
",,,1|10|4|5|7,,,
4642,,LE,,"<p>Acting and Theatrical Interpretation of Text</p>
","<p>As they begin to learn artistic discipline, students listen to and act out numerous storybooks with multicultural creation myths and themes.</p>
",,,1|10|5|7,,,
4643,,LE,,"<p>Preparing for Beginnings</p>
","<p>In response to a read-aloud in each session, students create improvisational skits and dances that examine and portray their understanding of the influence of the elemental forces on the natural world.</p>
",,,1|10|4|5|7,,,
